market,category,list_type,date,rank,asin,title,brand,price_low,price_high,rate,review_count,has_video,sales_rank,previous_sales_rank,pct_chg_sales_rank,source_file,product_url
US,Category A,best_seller,2026-02-01,1,DEMO00001,Demo Product 00001,Brand_102,34.32,,4.5,10238.0,1,,,,demo,https://example.com/dp/DEMO00001
US,Category A,best_seller,2026-02-01,2,DEMO00002,Demo Product 00002,Brand_165,35.41,,4.4,32589.0,1,,,,demo,https://example.com/dp/DEMO00002
US,Category A,best_seller,2026-02-01,3,DEMO00003,Demo Product 00003,Brand_007,36.96,,4.4,3932.0,1,,,,demo,https://example.com/dp/DEMO00003
US,Category A,best_seller,2026-02-01,4,DEMO00004,Demo Product 00004,Brand_182,24.61,,4.5,24468.0,1,,,,demo,https://example.com/dp/DEMO00004
US,Category A,best_seller,2026-02-01,5,DEMO00005,Demo Product 00005,Brand_010,176.17,,4.8,10321.0,1,,,,demo,https://example.com/dp/DEMO00005
US,Category A,best_seller,2026-02-01,6,DEMO00006,Demo Product 00006,Brand_226,15.68,,4.3,13061.0,1,,,,demo,https://example.com/dp/DEMO00006
US,Category A,best_seller,2026-02-01,7,DEMO00007,Demo Product 00007,Brand_256,83.91,,4.3,23221.0,1,,,,demo,https://example.com/dp/DEMO00007
US,Category A,best_seller,2026-02-01,8,DEMO00008,Demo Product 00008,Brand_013,72.76,,4.4,2812.0,1,,,,demo,https://example.com/dp/DEMO00008
US,Category A,best_seller,2026-02-01,9,DEMO00009,Demo Product 00009,Brand_NA,10.3,,4.3,1194.0,1,,,,demo,https://example.com/dp/DEMO00009
US,Category A,best_seller,2026-02-01,10,DEMO00010,Demo Product 00010,Brand_010,82.57,,4.8,1819.0,1,,,,demo,https://example.com/dp/DEMO00010
US,Category A,best_seller,2026-02-01,11,DEMO00011,Demo Product 00011,Brand_010,,,4.8,10051.0,1,,,,demo,https://example.com/dp/DEMO00011
US,Category A,best_seller,2026-02-01,12,DEMO00012,Demo Product 00012,Brand_013,45.59,,4.6,1861.0,1,,,,demo,https://example.com/dp/DEMO00012
US,Category A,best_seller,2026-02-01,13,DEMO00013,Demo Product 00013,Brand_013,23.14,,4.4,805.0,1,,,,demo,https://example.com/dp/DEMO00013
US,Category A,best_seller,2026-02-01,14,DEMO00014,Demo Product 00014,Brand_027,10.36,,3.9,383.0,0,,,,demo,https://example.com/dp/DEMO00014
US,Category A,best_seller,2026-02-01,15,DEMO00015,Demo Product 00015,Brand_022,30.65,,4.2,9695.0,1,,,,demo,https://example.com/dp/DEMO00015
US,Category A,best_seller,2026-02-01,16,DEMO00016,Demo Product 00016,Brand_050,38.67,,4.5,493.0,1,,,,demo,https://example.com/dp/DEMO00016
US,Category A,best_seller,2026-02-01,17,DEMO00017,Demo Product 00017,Brand_050,39.84,,4.4,828.0,0,,,,demo,https://example.com/dp/DEMO00017
US,Category A,best_seller,2026-02-01,18,DEMO00018,Demo Product 00018,Brand_202,54.94,,4.3,249.0,0,,,,demo,https://example.com/dp/DEMO00018
US,Category A,best_seller,2026-02-01,19,DEMO00019,Demo Product 00019,Brand_139,24.43,,4.5,15701.0,1,,,,demo,https://example.com/dp/DEMO00019
US,Category A,best_seller,2026-02-01,20,DEMO00020,Demo Product 00020,Brand_329,30.67,,4.5,1461.0,1,,,,demo,https://example.com/dp/DEMO00020
US,Category A,best_seller,2026-02-01,21,DEMO00021,Demo Product 00021,Brand_060,24.68,,4.3,7852.0,1,,,,demo,https://example.com/dp/DEMO00021
US,Category A,best_seller,2026-02-01,22,DEMO00022,Demo Product 00022,Brand_257,40.04,,4.4,21523.0,1,,,,demo,https://example.com/dp/DEMO00022
US,Category A,best_seller,2026-02-01,23,DEMO00023,Demo Product 00023,Brand_007,25.83,,4.7,102.0,1,,,,demo,https://example.com/dp/DEMO00023
US,Category A,best_seller,2026-02-01,24,DEMO00024,Demo Product 00024,Brand_NA,57.64,,4.6,18565.0,1,,,,demo,https://example.com/dp/DEMO00024
US,Category A,best_seller,2026-02-01,25,DEMO00025,Demo Product 00025,Brand_NA,57.79,,4.3,3400.0,1,,,,demo,https://example.com/dp/DEMO00025
US,Category A,best_seller,2026-02-01,26,DEMO00026,Demo Product 00026,Brand_027,57.38,,4.4,3341.0,1,,,,demo,https://example.com/dp/DEMO00026
US,Category A,best_seller,2026-02-01,27,DEMO00027,Demo Product 00027,Brand_NA,16.62,,4.2,1513.0,1,,,,demo,https://example.com/dp/DEMO00027
US,Category A,best_seller,2026-02-01,28,DEMO00028,Demo Product 00028,Brand_022,21.99,,4.3,452.0,0,,,,demo,https://example.com/dp/DEMO00028
US,Category A,best_seller,2026-02-01,29,DEMO00029,Demo Product 00029,Brand_010,110.74,,4.6,5728.0,1,,,,demo,https://example.com/dp/DEMO00029
US,Category A,best_seller,2026-02-01,30,DEMO00030,Demo Product 00030,Brand_NA,30.54,,5.0,22.0,1,,,,demo,https://example.com/dp/DEMO00030
US,Category A,best_seller,2026-02-01,31,DEMO00031,Demo Product 00031,Brand_183,30.45,,4.5,2902.0,1,,,,demo,https://example.com/dp/DEMO00031
US,Category A,best_seller,2026-02-01,32,DEMO00032,Demo Product 00032,Brand_NA,35.31,,4.4,827.0,0,,,,demo,https://example.com/dp/DEMO00032
US,Category A,best_seller,2026-02-01,33,DEMO00033,Demo Product 00033,Brand_NA,9.82,,4.4,290.0,0,,,,demo,https://example.com/dp/DEMO00033
